index,op,latency_us,ok,error
0,put,16963,true,
12,put,30532,true,
14,put,33448,true,
47,put,37172,true,
7,put,39895,true,
19,put,41713,true,
9,put,46424,true,
17,put,48990,true,
15,put,51162,true,
21,put,53894,true,
43,put,57378,true,
13,put,62384,true,
8,put,65722,true,
44,put,68927,true,
4,put,72356,true,
41,put,74364,true,
18,put,76799,true,
40,put,80778,true,
6,put,84661,true,
26,put,88104,true,
10,put,90941,true,
11,put,92810,true,
34,put,95153,true,
93,put,97236,true,
28,put,101771,true,
38,put,105636,true,
30,put,109705,true,
31,put,114289,true,
33,put,118617,true,
29,put,122504,true,
37,put,125308,true,
25,put,129749,true,
23,put,134267,true,
16,put,137029,true,
35,put,140567,true,
20,put,142905,true,
27,put,145279,true,
80,put,147084,true,
39,put,151047,true,
36,put,153271,true,
24,put,155864,true,
98,put,162456,true,
91,put,173232,true,
48,put,182788,true,
3,put,191723,true,
5,put,199223,true,
2,put,205862,true,
1,put,211003,true,
67,put,214199,true,
42,put,218655,true,
76,put,221423,true,
70,put,225641,true,
51,put,228991,true,
50,put,231445,true,
58,put,234277,true,
45,put,238502,true,
87,put,241297,true,
32,put,246170,true,
49,put,248572,true,
53,put,251476,true,
95,put,256181,true,
56,put,260858,true,
72,put,263420,true,
73,put,266832,true,
52,put,269872,true,
99,put,272213,true,
55,put,277286,true,
77,put,280042,true,
85,put,283689,true,
83,put,286156,true,
94,put,290487,true,
46,put,295268,true,
81,put,297446,true,
68,put,301227,true,
82,put,302809,true,
69,put,305232,true,
71,put,309760,true,
78,put,311689,true,
97,put,314156,true,
89,put,318994,true,
62,put,325289,true,
86,put,330033,true,
66,put,333995,true,
96,put,335293,true,
90,put,338147,true,
54,put,340969,true,
88,put,343014,true,
84,put,344914,true,
92,put,347374,true,
65,put,349853,true,
79,put,352012,true,
63,put,354889,true,
61,put,356892,true,
60,put,358791,true,
22,put,361370,true,
57,put,363072,true,
75,put,366354,true,
74,put,370456,true,
64,put,375777,true,
59,put,377774,true,
100,put,364272,true,
101,put,352280,true,
102,put,352453,true,
103,put,350102,true,
104,put,350006,true,
105,put,350695,true,
106,put,349490,true,
107,put,351744,true,
108,put,351845,true,
109,put,351372,true,
110,put,349863,true,
111,put,347390,true,
112,put,346546,true,
113,put,344578,true,
114,put,344446,true,
115,put,345249,true,
116,put,347798,true,
117,put,345486,true,
118,put,345326,true,
119,put,343477,true,
120,put,342759,true,
121,put,342758,true,
122,put,342479,true,
123,put,341790,true,
124,put,340708,true,
125,put,340863,true,
126,put,339050,true,
127,put,336629,true,
128,put,334805,true,
129,put,332857,true,
130,put,331822,true,
131,put,329537,true,
132,put,328188,true,
133,put,328673,true,
134,put,328747,true,
135,put,328612,true,
136,put,328613,true,
137,put,328146,true,
138,put,329012,true,
139,put,330278,true,
140,put,332624,true,
141,put,331426,true,
142,put,326371,true,
143,put,321372,true,
144,put,317075,true,
145,put,313023,true,
146,put,310623,true,
147,put,310698,true,
148,put,309938,true,
149,put,311168,true,
150,put,310479,true,
151,put,308821,true,
152,put,308347,true,
153,put,309766,true,
154,put,310362,true,
155,put,308217,true,
156,put,307603,true,
157,put,306609,true,
158,put,309157,true,
159,put,309553,true,
160,put,308564,true,
161,put,308922,true,
162,put,310823,true,
163,put,310093,true,
164,put,311806,true,
165,put,313459,true,
166,put,313230,true,
167,put,313225,true,
168,put,312867,true,
169,put,313207,true,
170,put,311136,true,
171,put,312026,true,
172,put,314368,true,
173,put,316016,true,
174,put,318444,true,
175,put,319711,true,
176,put,319892,true,
177,put,323870,true,
178,put,326979,true,
179,put,329967,true,
180,put,330434,true,
181,put,329060,true,
182,put,330429,true,
183,put,335418,true,
184,put,338016,true,
185,put,340092,true,
186,put,339695,true,
187,put,341341,true,
188,put,341378,true,
189,put,342312,true,
190,put,345622,true,
191,put,349023,true,
192,put,351635,true,
193,put,353798,true,
194,put,355542,true,
195,put,355395,true,
196,put,354324,true,
197,put,354246,true,
198,put,354641,true,
199,put,357936,true,
200,put,360788,true,
201,put,362117,true,
202,put,362976,true,
203,put,364384,true,
204,put,365172,true,
205,put,367174,true,
206,put,367013,true,
207,put,367543,true,
208,put,369182,true,
209,put,369638,true,
210,put,369740,true,
211,put,370249,true,
212,put,371000,true,
213,put,372357,true,
214,put,372631,true,
215,put,371464,true,
216,put,368768,true,
217,put,368611,true,
218,put,368873,true,
219,put,369184,true,
220,put,369254,true,
221,put,370146,true,
222,put,371490,true,
223,put,373831,true,
224,put,373910,true,
225,put,371626,true,
226,put,371348,true,
227,put,371015,true,
228,put,371096,true,
229,put,371056,true,
230,put,371824,true,
231,put,373438,true,
232,put,374654,true,
233,put,377147,true,
234,put,375164,true,
235,put,375390,true,
236,put,375847,true,
237,put,376499,true,
238,put,375829,true,
239,put,376070,true,
240,put,374317,true,
241,put,371892,true,
242,put,368923,true,
243,put,367854,true,
244,put,369366,true,
245,put,368788,true,
246,put,367746,true,
247,put,365371,true,
248,put,365064,true,
249,put,364735,true,
250,put,365279,true,
251,put,365660,true,
252,put,365701,true,
253,put,364891,true,
254,put,364455,true,
255,put,365346,true,
256,put,367587,true,
257,put,370192,true,
258,put,368429,true,
259,put,367440,true,
260,put,365604,true,
261,put,364764,true,
262,put,363275,true,
263,put,362650,true,
264,put,361828,true,
265,put,361711,true,
266,put,361923,true,
267,put,361158,true,
268,put,361099,true,
269,put,361126,true,
270,put,360621,true,
271,put,358314,true,
272,put,354867,true,
273,put,353097,true,
274,put,352090,true,
275,put,350641,true,
276,put,348447,true,
277,put,344069,true,
278,put,340908,true,
279,put,335587,true,
280,put,331332,true,
281,put,330338,true,
282,put,329195,true,
283,put,326509,true,
284,put,323916,true,
285,put,321648,true,
286,put,321072,true,
287,put,319506,true,
288,put,318834,true,
289,put,320017,true,
290,put,316872,true,
291,put,314460,true,
292,put,318006,true,
293,put,318140,true,
294,put,318639,true,
295,put,318778,true,
296,put,319072,true,
297,put,316935,true,
298,put,313506,true,
299,put,311166,true,
300,put,308624,true,
301,put,308829,true,
302,put,307309,true,
303,put,307554,true,
304,put,310154,true,
305,put,309389,true,
306,put,309620,true,
307,put,307112,true,
308,put,306681,true,
309,put,308145,true,
310,put,309130,true,
311,put,310207,true,
312,put,310402,true,
313,put,310376,true,
314,put,312302,true,
315,put,313495,true,
316,put,314189,true,
317,put,315328,true,
318,put,313845,true,
319,put,313507,true,
320,put,314941,true,
321,put,316856,true,
322,put,315603,true,
323,put,313868,true,
324,put,315793,true,
325,put,318951,true,
326,put,319150,true,
327,put,319228,true,
328,put,318567,true,
329,put,319438,true,
330,put,318740,true,
331,put,317419,true,
332,put,315626,true,
333,put,312566,true,
334,put,315982,true,
335,put,315914,true,
336,put,315142,true,
337,put,314049,true,
338,put,312787,true,
339,put,311730,true,
340,put,310834,true,
341,put,308404,true,
342,put,309852,true,
343,put,312393,true,
344,put,309594,true,
345,put,308357,true,
346,put,307334,true,
347,put,306476,true,
348,put,304847,true,
349,put,301795,true,
350,put,301007,true,
351,put,301386,true,
352,put,303601,true,
353,put,302498,true,
354,put,301197,true,
355,put,301303,true,
356,put,297971,true,
357,put,294725,true,
358,put,293247,true,
359,put,294429,true,
360,put,294937,true,
361,put,296204,true,
362,put,295801,true,
363,put,298349,true,
364,put,299811,true,
365,put,298442,true,
366,put,298226,true,
367,put,298647,true,
368,put,297206,true,
369,put,298106,true,
370,put,297736,true,
371,put,297494,true,
372,put,299720,true,
373,put,298727,true,
374,put,297148,true,
375,put,302253,true,
376,put,303416,true,
377,put,307878,true,
378,put,307254,true,
379,put,307483,true,
380,put,307428,true,
381,put,306392,true,
382,put,305775,true,
383,put,303132,true,
384,put,302424,true,
385,put,303421,true,
386,put,307438,true,
387,put,309478,true,
388,put,309467,true,
389,put,308330,true,
390,put,307617,true,
391,put,306908,true,
392,put,301688,true,
393,put,300850,true,
394,put,301453,true,
395,put,301199,true,
396,put,300409,true,
397,put,300904,true,
398,put,300673,true,
399,put,299804,true,
400,put,299535,true,
401,put,298489,true,
402,put,298021,true,
403,put,297661,true,
404,put,294858,true,
405,put,293596,true,
406,put,293500,true,
407,put,293743,true,
408,put,292033,true,
409,put,290693,true,
410,put,290780,true,
411,put,289969,true,
412,put,288693,true,
413,put,288116,true,
414,put,285270,true,
415,put,284975,true,
416,put,284225,true,
417,put,283105,true,
418,put,283123,true,
419,put,284805,true,
420,put,285184,true,
421,put,283607,true,
422,put,282885,true,
423,put,281368,true,
424,put,280029,true,
425,put,276918,true,
426,put,276614,true,
427,put,278509,true,
428,put,280313,true,
429,put,281989,true,
430,put,283098,true,
431,put,282666,true,
432,put,282103,true,
433,put,282308,true,
434,put,279018,true,
435,put,279255,true,
436,put,280478,true,
437,put,282417,true,
438,put,284698,true,
439,put,283910,true,
440,put,283794,true,
441,put,283382,true,
442,put,281800,true,
443,put,279360,true,
444,put,278814,true,
445,put,279587,true,
446,put,281318,true,
447,put,283397,true,
448,put,283843,true,
449,put,284599,true,
450,put,283898,true,
451,put,284166,true,
452,put,281688,true,
453,put,283572,true,
454,put,285134,true,
455,put,286650,true,
456,put,287002,true,
457,put,287849,true,
458,put,290421,true,
459,put,289476,true,
460,put,288158,true,
461,put,285664,true,
462,put,285710,true,
463,put,284897,true,
464,put,281824,true,
465,put,279698,true,
466,put,278235,true,
467,put,278937,true,
468,put,279524,true,
469,put,277793,true,
470,put,278597,true,
471,put,280382,true,
472,put,279186,true,
473,put,279488,true,
474,put,280231,true,
475,put,275280,true,
476,put,273446,true,
477,put,271228,true,
478,put,271849,true,
479,put,271914,true,
480,put,272450,true,
481,put,273266,true,
482,put,274001,true,
483,put,274191,true,
484,put,274294,true,
485,put,273145,true,
486,put,270184,true,
487,put,269707,true,
488,put,271953,true,
489,put,271064,true,
490,put,271324,true,
491,put,270465,true,
492,put,270351,true,
493,put,269134,true,
494,put,266337,true,
495,put,267297,true,
496,put,270802,true,
497,put,271142,true,
498,put,272631,true,
499,put,272419,true,
500,put,272368,true,
501,put,273415,true,
502,put,273510,true,
503,put,273456,true,
504,put,275999,true,
505,put,276186,true,
506,put,276852,true,
507,put,276888,true,
508,put,279345,true,
509,put,280606,true,
510,put,279510,true,
511,put,280107,true,
512,put,282085,true,
513,put,282097,true,
514,put,283407,true,
515,put,282214,true,
516,put,282222,true,
517,put,282835,true,
518,put,284475,true,
519,put,285345,true,
520,put,285646,true,
521,put,286143,true,
522,put,287793,true,
523,put,289659,true,
524,put,291573,true,
525,put,292060,true,
526,put,295299,true,
527,put,294879,true,
528,put,294381,true,
529,put,293539,true,
530,put,293276,true,
531,put,293763,true,
532,put,293695,true,
533,put,293448,true,
534,put,295177,true,
535,put,297786,true,
536,put,297334,true,
537,put,296078,true,
538,put,295485,true,
539,put,298589,true,
540,put,299324,true,
541,put,301372,true,
542,put,304093,true,
543,put,303637,true,
544,put,303996,true,
545,put,304055,true,
546,put,303039,true,
547,put,303274,true,
548,put,303019,true,
549,put,303392,true,
550,put,305031,true,
551,put,306127,true,
552,put,305730,true,
553,put,303749,true,
554,put,302439,true,
555,put,301218,true,
556,put,302586,true,
557,put,302219,true,
558,put,303016,true,
559,put,303757,true,
560,put,307947,true,
561,put,308290,true,
562,put,307911,true,
563,put,307805,true,
564,put,309053,true,
565,put,310033,true,
566,put,310402,true,
567,put,309317,true,
568,put,311015,true,
569,put,313026,true,
570,put,312712,true,
571,put,311815,true,
572,put,310851,true,
573,put,312260,true,
574,put,312952,true,
575,put,313967,true,
576,put,316696,true,
577,put,315277,true,
578,put,314570,true,
579,put,314310,true,
580,put,314466,true,
581,put,314647,true,
582,put,312851,true,
583,put,313432,true,
584,put,314637,true,
585,put,317175,true,
586,put,317450,true,
587,put,316741,true,
588,put,314980,true,
589,put,315639,true,
590,put,316068,true,
591,put,317061,true,
592,put,317918,true,
593,put,319955,true,
594,put,321525,true,
595,put,322212,true,
596,put,321210,true,
597,put,321454,true,
598,put,320203,true,
599,put,323092,true,
600,put,323982,true,
601,put,324336,true,
602,put,324236,true,
603,put,322916,true,
604,put,319735,true,
605,put,318727,true,
606,put,317120,true,
607,put,316176,true,
608,put,313817,true,
609,put,313637,true,
610,put,316999,true,
611,put,317489,true,
612,put,316432,true,
613,put,315659,true,
614,put,315619,true,
615,put,315657,true,
616,put,316652,true,
617,put,319337,true,
618,put,318841,true,
619,put,316883,true,
620,put,316425,true,
621,put,316505,true,
622,put,317261,true,
623,put,317044,true,
624,put,315060,true,
625,put,315187,true,
626,put,314691,true,
627,put,313696,true,
628,put,312280,true,
629,put,311095,true,
630,put,310081,true,
631,put,310671,true,
632,put,310701,true,
633,put,310013,true,
634,put,309473,true,
635,put,309621,true,
636,put,310237,true,
637,put,311320,true,
638,put,310535,true,
639,put,310527,true,
640,put,310803,true,
641,put,311067,true,
642,put,310256,true,
643,put,311833,true,
644,put,312902,true,
645,put,312877,true,
646,put,313473,true,
647,put,311106,true,
648,put,310850,true,
649,put,310468,true,
650,put,312181,true,
651,put,311172,true,
652,put,311236,true,
653,put,311227,true,
654,put,312213,true,
655,put,314008,true,
656,put,314835,true,
657,put,314926,true,
658,put,312712,true,
659,put,313148,true,
660,put,309923,true,
661,put,312511,true,
662,put,312472,true,
663,put,311045,true,
664,put,312857,true,
665,put,312403,true,
666,put,313360,true,
667,put,313194,true,
668,put,311132,true,
669,put,309775,true,
670,put,310192,true,
671,put,309661,true,
672,put,312563,true,
673,put,311416,true,
674,put,310072,true,
675,put,309921,true,
676,put,307191,true,
677,put,306378,true,
678,put,305830,true,
679,put,305494,true,
680,put,308497,true,
681,put,308712,true,
682,put,311155,true,
683,put,311535,true,
684,put,310341,true,
685,put,308630,true,
686,put,310123,true,
687,put,309512,true,
688,put,310476,true,
689,put,311124,true,
690,put,312612,true,
691,put,314153,true,
692,put,312465,true,
693,put,310151,true,
694,put,309234,true,
695,put,307601,true,
696,put,307112,true,
697,put,307053,true,
698,put,308616,true,
699,put,307938,true,
700,put,309364,true,
701,put,309780,true,
702,put,311338,true,
703,put,314039,true,
704,put,315980,true,
705,put,317940,true,
706,put,318782,true,
707,put,319578,true,
708,put,320985,true,
709,put,319398,true,
710,put,316940,true,
711,put,316612,true,
712,put,316679,true,
713,put,317310,true,
714,put,316969,true,
715,put,320465,true,
716,put,320626,true,
717,put,317363,true,
718,put,315967,true,
719,put,315811,true,
720,put,314562,true,
721,put,312744,true,
722,put,311647,true,
723,put,311257,true,
724,put,312942,true,
725,put,315494,true,
726,put,315364,true,
727,put,315865,true,
728,put,316159,true,
729,put,317193,true,
730,put,317285,true,
731,put,316867,true,
732,put,318948,true,
733,put,320615,true,
734,put,321535,true,
735,put,318192,true,
736,put,316447,true,
737,put,314675,true,
738,put,316535,true,
739,put,313803,true,
740,put,313892,true,
741,put,313392,true,
742,put,313609,true,
743,put,314171,true,
744,put,314229,true,
745,put,315053,true,
746,put,315636,true,
747,put,319214,true,
748,put,320677,true,
749,put,321288,true,
750,put,319375,true,
751,put,318949,true,
752,put,319958,true,
753,put,319932,true,
754,put,320237,true,
755,put,317185,true,
756,put,317271,true,
757,put,317491,true,
758,put,319043,true,
759,put,318045,true,
760,put,317564,true,
761,put,315814,true,
762,put,319160,true,
763,put,319776,true,
764,put,317116,true,
765,put,318610,true,
766,put,320216,true,
767,put,319791,true,
768,put,320509,true,
769,put,320548,true,
770,put,320963,true,
771,put,323344,true,
772,put,323186,true,
773,put,323713,true,
774,put,324393,true,
775,put,324068,true,
776,put,324150,true,
777,put,324792,true,
778,put,325806,true,
779,put,325906,true,
780,put,325919,true,
781,put,325684,true,
782,put,324966,true,
783,put,324922,true,
784,put,326051,true,
785,put,326314,true,
786,put,323789,true,
787,put,323537,true,
788,put,322095,true,
789,put,322292,true,
790,put,321907,true,
791,put,323979,true,
792,put,324442,true,
793,put,325879,true,
