index,op,latency_us,ok,error
0,put,16790,true,
25,put,24333,true,
2,put,29273,true,
23,put,31425,true,
18,put,34127,true,
15,put,37552,true,
42,put,40812,true,
16,put,42608,true,
20,put,44327,true,
8,put,47784,true,
21,put,49750,true,
33,put,52051,true,
32,put,55091,true,
43,put,58630,true,
34,put,62283,true,
67,put,66347,true,
28,put,69055,true,
57,put,70696,true,
49,put,73803,true,
4,put,76362,true,
6,put,78102,true,
47,put,80421,true,
30,put,82762,true,
65,put,85226,true,
56,put,88376,true,
11,put,92840,true,
71,put,94782,true,
27,put,96935,true,
35,put,98959,true,
41,put,101701,true,
40,put,103631,true,
60,put,105022,true,
26,put,107083,true,
7,put,110072,true,
75,put,113192,true,
31,put,117547,true,
89,put,121227,true,
62,put,123747,true,
80,put,125315,true,
63,put,128226,true,
74,put,129884,true,
68,put,131697,true,
58,put,133628,true,
98,put,133225,true,
95,put,135631,true,
72,put,139770,true,
90,put,142515,true,
50,put,147277,true,
87,put,148342,true,
91,put,150008,true,
78,put,153296,true,
94,put,153089,true,
37,put,157077,true,
54,put,158770,true,
76,put,160379,true,
86,put,162765,true,
92,put,165272,true,
81,put,169427,true,
44,put,173898,true,
53,put,175760,true,
52,put,178836,true,
69,put,180606,true,
51,put,182933,true,
39,put,185449,true,
5,put,188991,true,
82,put,190611,true,
83,put,193965,true,
17,put,196972,true,
66,put,200205,true,
88,put,203391,true,
97,put,205259,true,
70,put,210445,true,
61,put,212269,true,
10,put,214651,true,
1,put,216637,true,
3,put,218675,true,
9,put,222641,true,
29,put,225490,true,
59,put,228116,true,
38,put,230622,true,
12,put,233421,true,
96,put,233986,true,
79,put,238538,true,
14,put,241491,true,
85,put,242573,true,
93,put,243469,true,
55,put,248575,true,
99,put,250654,true,
77,put,255814,true,
45,put,259279,true,
84,put,261823,true,
13,put,266062,true,
73,put,269192,true,
48,put,272035,true,
22,put,274213,true,
64,put,275688,true,
19,put,279361,true,
36,put,282836,true,
24,put,284696,true,
46,put,286405,true,
100,put,271948,true,
101,put,265723,true,
102,put,263536,true,
103,put,262920,true,
104,put,261973,true,
105,put,261185,true,
106,put,260671,true,
107,put,262660,true,
108,put,264917,true,
109,put,263514,true,
110,put,264276,true,
111,put,264291,true,
112,put,264751,true,
113,put,263532,true,
114,put,262055,true,
115,put,259409,true,
116,put,259790,true,
117,put,261665,true,
118,put,262512,true,
119,put,262472,true,
120,put,263151,true,
121,put,262984,true,
122,put,263366,true,
123,put,262743,true,
124,put,261449,true,
125,put,259445,true,
126,put,259701,true,
127,put,261430,true,
128,put,263884,true,
129,put,263326,true,
130,put,263791,true,
131,put,264614,true,
132,put,266190,true,
133,put,265738,true,
134,put,264320,true,
135,put,262146,true,
136,put,259731,true,
137,put,261555,true,
138,put,262846,true,
139,put,262080,true,
140,put,262287,true,
141,put,262772,true,
142,put,263484,true,
143,put,263847,true,
144,put,263398,true,
145,put,263637,true,
146,put,263145,true,
147,put,263196,true,
148,put,265380,true,
149,put,268031,true,
150,put,268759,true,
151,put,269907,true,
152,put,271621,true,
153,put,272222,true,
154,put,273371,true,
155,put,272636,true,
156,put,272059,true,
157,put,271317,true,
158,put,270635,true,
159,put,272825,true,
160,put,272744,true,
161,put,274174,true,
162,put,275934,true,
163,put,275929,true,
164,put,274724,true,
165,put,273849,true,
166,put,272880,true,
167,put,273977,true,
168,put,273870,true,
169,put,273919,true,
170,put,272694,true,
171,put,271967,true,
172,put,272476,true,
173,put,273547,true,
174,put,273756,true,
175,put,273578,true,
176,put,271281,true,
177,put,270041,true,
178,put,270095,true,
179,put,271053,true,
180,put,272884,true,
181,put,272727,true,
182,put,273043,true,
183,put,273723,true,
184,put,273689,true,
185,put,273516,true,
186,put,272744,true,
187,put,270263,true,
188,put,270581,true,
189,put,270762,true,
190,put,271550,true,
191,put,270691,true,
192,put,270137,true,
193,put,271086,true,
194,put,271718,true,
195,put,272753,true,
196,put,272354,true,
197,put,271139,true,
198,put,271727,true,
199,put,272644,true,
200,put,272721,true,
201,put,272874,true,
202,put,272142,true,
203,put,272122,true,
204,put,272797,true,
205,put,271946,true,
206,put,270706,true,
207,put,269513,true,
208,put,268891,true,
209,put,271181,true,
210,put,272242,true,
211,put,271858,true,
212,put,270456,true,
213,put,270393,true,
214,put,270963,true,
215,put,273428,true,
216,put,273745,true,
217,put,274160,true,
218,put,274734,true,
219,put,275775,true,
220,put,276684,true,
221,put,276275,true,
222,put,275438,true,
223,put,275043,true,
224,put,274941,true,
225,put,274932,true,
226,put,275777,true,
227,put,274132,true,
228,put,271327,true,
229,put,270790,true,
230,put,270343,true,
231,put,270554,true,
232,put,270181,true,
233,put,271352,true,
234,put,273463,true,
235,put,273270,true,
236,put,273111,true,
237,put,271796,true,
238,put,270516,true,
239,put,270401,true,
240,put,270144,true,
241,put,269690,true,
242,put,269304,true,
243,put,270132,true,
244,put,271372,true,
245,put,273136,true,
246,put,273016,true,
247,put,271738,true,
248,put,270643,true,
249,put,268353,true,
250,put,266783,true,
251,put,265638,true,
252,put,263847,true,
253,put,264357,true,
254,put,264572,true,
255,put,265995,true,
256,put,265517,true,
257,put,264415,true,
258,put,262885,true,
259,put,260686,true,
260,put,260948,true,
261,put,260320,true,
262,put,258699,true,
263,put,258848,true,
264,put,260515,true,
265,put,262482,true,
266,put,262936,true,
267,put,261499,true,
268,put,260297,true,
269,put,258495,true,
270,put,258367,true,
271,put,258511,true,
272,put,258218,true,
273,put,257122,true,
274,put,257520,true,
275,put,258922,true,
276,put,261366,true,
277,put,264411,true,
278,put,263921,true,
279,put,263283,true,
280,put,262228,true,
281,put,262346,true,
282,put,262658,true,
283,put,261825,true,
284,put,262038,true,
285,put,263367,true,
286,put,265181,true,
287,put,267840,true,
288,put,267890,true,
289,put,266833,true,
290,put,265282,true,
291,put,265111,true,
292,put,263798,true,
293,put,262818,true,
294,put,262041,true,
295,put,260853,true,
296,put,260694,true,
297,put,261662,true,
298,put,261710,true,
299,put,261388,true,
300,put,261287,true,
301,put,261434,true,
302,put,261461,true,
303,put,261809,true,
304,put,263120,true,
305,put,263498,true,
306,put,264399,true,
307,put,265281,true,
308,put,266124,true,
309,put,264886,true,
310,put,263123,true,
311,put,262700,true,
312,put,262411,true,
313,put,263016,true,
314,put,262896,true,
315,put,262269,true,
316,put,261927,true,
317,put,261537,true,
318,put,261184,true,
319,put,261531,true,
320,put,261691,true,
321,put,262508,true,
322,put,263188,true,
323,put,263407,true,
324,put,263990,true,
325,put,265397,true,
326,put,263824,true,
327,put,264422,true,
328,put,265095,true,
329,put,265626,true,
330,put,266797,true,
331,put,266352,true,
332,put,265893,true,
333,put,264153,true,
334,put,261558,true,
335,put,261838,true,
336,put,262686,true,
337,put,262778,true,
338,put,263410,true,
339,put,265229,true,
340,put,266255,true,
341,put,268436,true,
342,put,269176,true,
343,put,269117,true,
344,put,268247,true,
345,put,265795,true,
346,put,265560,true,
347,put,266020,true,
348,put,266522,true,
349,put,268618,true,
350,put,269057,true,
351,put,269403,true,
352,put,269772,true,
353,put,269562,true,
354,put,268197,true,
355,put,266338,true,
356,put,266653,true,
357,put,267645,true,
358,put,269858,true,
359,put,272466,true,
360,put,272148,true,
361,put,271400,true,
362,put,271021,true,
363,put,270376,true,
364,put,269203,true,
365,put,269894,true,
366,put,269646,true,
367,put,269835,true,
368,put,269261,true,
369,put,270511,true,
370,put,272162,true,
371,put,271502,true,
372,put,271374,true,
373,put,271315,true,
374,put,271136,true,
375,put,269824,true,
376,put,268529,true,
377,put,265405,true,
378,put,264765,true,
379,put,264774,true,
380,put,264879,true,
381,put,266228,true,
382,put,264930,true,
383,put,264480,true,
384,put,264799,true,
385,put,263105,true,
386,put,260852,true,
387,put,259243,true,
388,put,257723,true,
389,put,258277,true,
390,put,259396,true,
391,put,260749,true,
392,put,263412,true,
393,put,262585,true,
394,put,262595,true,
395,put,263081,true,
396,put,262220,true,
397,put,261156,true,
398,put,260601,true,
399,put,259807,true,
400,put,259917,true,
401,put,261345,true,
402,put,263179,true,
403,put,264820,true,
404,put,263609,true,
405,put,264996,true,
406,put,264323,true,
