index,op,latency_us,ok,error
19,put,3827,true,
0,put,4329,true,
9,put,15691,true,
8,put,15784,true,
1,put,15956,true,
4,put,15916,true,
7,put,16480,true,
6,put,16567,true,
17,put,19252,true,
10,put,19522,true,
12,put,19502,true,
11,put,20301,true,
2,put,20586,true,
16,put,22884,true,
15,put,23512,true,
20,put,25810,true,
22,put,14583,true,
23,put,15810,true,
25,put,16349,true,
31,put,13129,true,
13,put,33621,true,
34,put,10984,true,
3,put,35036,true,
18,put,36350,true,
24,put,20972,true,
27,put,21631,true,
5,put,38500,true,
37,put,7056,true,
40,put,5918,true,
29,put,20163,true,
14,put,39869,true,
32,put,21018,true,
21,put,37405,true,
35,put,13630,true,
26,put,27093,true,
47,put,5600,true,
28,put,26790,true,
38,put,14164,true,
30,put,28885,true,
43,put,11969,true,
33,put,28147,true,
45,put,13110,true,
36,put,23939,true,
46,put,15971,true,
39,put,24199,true,
49,put,18030,true,
41,put,26354,true,
53,put,17565,true,
55,put,18402,true,
42,put,27916,true,
56,put,17915,true,
44,put,28592,true,
48,put,27028,true,
58,put,18362,true,
51,put,25353,true,
50,put,28164,true,
52,put,26704,true,
62,put,14059,true,
65,put,11687,true,
54,put,25954,true,
57,put,23188,true,
60,put,19805,true,
59,put,22562,true,
63,put,18047,true,
68,put,9993,true,
61,put,21365,true,
72,put,6492,true,
66,put,12243,true,
74,put,7067,true,
69,put,11144,true,
71,put,10948,true,
76,put,8216,true,
64,put,19648,true,
78,put,9557,true,
67,put,20890,true,
81,put,11107,true,
82,put,12031,true,
70,put,19092,true,
73,put,19106,true,
75,put,17854,true,
87,put,13520,true,
84,put,14093,true,
88,put,15614,true,
83,put,17631,true,
77,put,22141,true,
80,put,22649,true,
79,put,24032,true,
85,put,24223,true,
91,put,20550,true,
86,put,23957,true,
93,put,18908,true,
92,put,20623,true,
97,put,17261,true,
94,put,18745,true,
98,put,15055,true,
99,put,15070,true,
89,put,27127,true,
105,put,9411,true,
90,put,25427,true,
101,put,15008,true,
103,put,12345,true,
95,put,20476,true,
106,put,8999,true,
108,put,6283,true,
104,put,12995,true,
96,put,20507,true,
110,put,6586,true,
100,put,18001,true,
102,put,16665,true,
107,put,10745,true,
117,put,6456,true,
121,put,7033,true,
109,put,12515,true,
111,put,16133,true,
112,put,13742,true,
126,put,9817,true,
128,put,10707,true,
114,put,15973,true,
118,put,17842,true,
130,put,11712,true,
113,put,19647,true,
120,put,18037,true,
115,put,20378,true,
123,put,18149,true,
116,put,23481,true,
125,put,21064,true,
131,put,16200,true,
119,put,24127,true,
122,put,26151,true,
124,put,25790,true,
133,put,15968,true,
136,put,13272,true,
134,put,16028,true,
127,put,25531,true,
137,put,13334,true,
129,put,23720,true,
141,put,10937,true,
142,put,11805,true,
132,put,24393,true,
139,put,14855,true,
135,put,21517,true,
143,put,16085,true,
138,put,19607,true,
144,put,16502,true,
140,put,23197,true,
148,put,17402,true,
145,put,24013,true,
152,put,21330,true,
146,put,28608,true,
151,put,27636,true,
157,put,27221,true,
162,put,23885,true,
164,put,19791,true,
167,put,16184,true,
170,put,10007,true,
147,put,47660,true,
149,put,44476,true,
150,put,44488,true,
154,put,44404,true,
155,put,44712,true,
153,put,45913,true,
156,put,46680,true,
175,put,4697,true,
158,put,44310,true,
159,put,45459,true,
161,put,42673,true,
166,put,33987,true,
160,put,47103,true,
183,put,4669,true,
163,put,47085,true,
165,put,42184,true,
169,put,30599,true,
171,put,25608,true,
185,put,9032,true,
173,put,24024,true,
168,put,37585,true,
172,put,30774,true,
176,put,20483,true,
174,put,24434,true,
178,put,20256,true,
177,put,23336,true,
186,put,15647,true,
179,put,22381,true,
180,put,23026,true,
189,put,11477,true,
187,put,17545,true,
193,put,11274,true,
191,put,13110,true,
195,put,9733,true,
181,put,24037,true,
182,put,24752,true,
196,put,9023,true,
192,put,14481,true,
198,put,10024,true,
184,put,24970,true,
194,put,13323,true,
203,put,7930,true,
188,put,24214,true,
201,put,8928,true,
202,put,11067,true,
204,put,9900,true,
190,put,21307,true,
208,put,13298,true,
197,put,21254,true,
199,put,27277,true,
200,put,26475,true,
206,put,24352,true,
207,put,23796,true,
205,put,24898,true,
210,put,23140,true,
209,put,24078,true,
213,put,21710,true,
